product,负面,正面,正面占比
Hfine,23,292,92.6984126984127
中星众科,41,831,95.29816513761467
福士德,26,279,91.47540983606557
耀典,14,181,92.82051282051282
阿里健康大药房,82,665,89.02275769745648
雅德,26,513,95.17625231910947
鱼跃,19,363,95.02617801047121
