feature,importance
comment_length,0.9558779
实用性_score,0.0067825275
质量_score,0.0059921336
性价比_score,0.0057303202
性价比_count,0.0055868207
购物体验_score,0.005253207
质量_count,0.005236603
实用性_count,0.0049110777
购物体验_count,0.0046293894
