特征因素,提及率得分,情感影响得分,产品差异得分,综合得分
质量,1.0,0.28125,1.0,0.7124999999999999
性价比,0.32499999999999996,1.0,0.10125125691302161,0.5278753770739065
购物体验,0.3838235294117647,0.5625,0.21258358471593766,0.4039221342383107
实用性,0.5774509803921568,0.0,0.38650326797385626,0.28918627450980394
